id,age,job,marital,education,location,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,41,management,single,tertiary,unknown,0,4522.0,0,0,cellular,28,aug,55,1,-1,0,unknown,0
1,42,blue-collar,married,primary,unknown,1,398.0,1,0,unknown,16,may,251,4,-1,0,unknown,0
2,26,student,single,secondary,Lisboa,0,706.0,0,0,unknown,8,oct,118,1,105,2,other,0
3,54,management,married,tertiary,unknown,0,0.0,0,1,cellular,19,nov,307,3,-1,0,unknown,0
4,43,self-employed,married,secondary,Porto,0,918.0,1,0,unknown,6,may,193,1,-1,0,unknown,0
5,34,technician,single,secondary,unknown,0,52.0,0,0,cellular,19,aug,90,4,-1,0,unknown,0
6,40,management,married,tertiary,unknown,0,143.0,0,0,cellular,13,aug,832,6,-1,0,unknown,0
7,41,blue-collar,divorced,secondary,Lisboa,0,1345.6313533166874,1,0,cellular,31,jul,228,4,-1,0,unknown,0
8,45,blue-collar,married,primary,Lisboa,0,1794.0,1,0,unknown,14,may,174,2,-1,0,unknown,0
9,51,management,single,secondary,Lisboa,0,1658.3788579584598,1,0,unknown,16,jun,1248,2,-1,0,unknown,1
10,21,administrator,single,secondary,unknown,0,325.0,1,0,cellular,16,may,467,1,-1,0,unknown,0
11,32,blue-collar,married,secondary,Amadora,0,897.0,1,0,cellular,7,apr,293,3,322,2,failure,0
12,60,retired,married,primary,Braga,0,0.0,0,0,unknown,18,jun,104,1,-1,0,unknown,0
13,47,blue-collar,married,secondary,Lisboa,0,273.0,1,0,unknown,4,jun,163,1,-1,0,unknown,0
14,43,management,married,tertiary,unknown,0,1253.0,0,1,cellular,18,aug,52,3,-1,0,unknown,0
15,32,blue-collar,married,primary,Lisboa,0,1156.0,1,0,unknown,26,may,185,5,-1,0,unknown,0
16,46,housemaid,married,tertiary,Porto,0,184.0,0,0,cellular,3,jun,167,2,-1,0,unknown,0
17,31,management,single,tertiary,Lisboa,0,0.0,0,0,cellular,28,aug,35,31,-1,0,unknown,0
18,53,management,married,tertiary,Lisboa,0,0.0,1,1,cellular,21,nov,266,6,-1,0,unknown,0
19,27,services,single,secondary,unknown,0,777.0,1,0,unknown,9,may,131,3,-1,0,unknown,0
20,29,blue-collar,single,secondary,unknown,0,2553.0,1,0,cellular,16,apr,250,1,-1,0,unknown,0
21,35,blue-collar,married,primary,unknown,0,0.0,0,0,cellular,31,jul,57,4,-1,0,unknown,0
22,32,technician,married,tertiary,Lisboa,0,514.0,1,0,unknown,20,may,414,2,-1,0,unknown,0
23,36,services,married,secondary,unknown,0,1053.0,1,0,telephone,30,jan,99,1,259,1,failure,0
24,41,unemployed,married,secondary,Lisboa,0,3640.0,0,0,telephone,5,feb,295,6,-1,0,unknown,0
25,29,services,single,tertiary,unknown,0,1788.0,0,0,cellular,4,feb,303,1,100,1,success,0
26,43,blue-collar,divorced,secondary,unknown,0,777.0,1,0,unknown,2,jun,130,2,-1,0,unknown,0
27,36,self-employed,married,tertiary,unknown,0,16430.0,1,0,cellular,19,nov,234,1,166,3,failure,0
28,32,services,married,secondary,Porto,0,-632.0,1,1,cellular,20,apr,18,5,-1,0,unknown,0
29,25,blue-collar,single,secondary,Porto,0,926.284838871982,0,0,cellular,18,jun,252,1,92,1,success,1
30,53,services,married,secondary,unknown,0,1563.0,1,0,cellular,2,feb,124,2,5,1,other,0
31,37,services,married,secondary,unknown,0,184.0,1,0,cellular,20,apr,53,1,348,3,failure,0
32,29,self-employed,married,tertiary,unknown,0,1.0,0,0,cellular,18,jul,167,3,-1,0,unknown,0
33,50,blue-collar,married,primary,unknown,0,84.0,1,0,unknown,29,may,179,1,-1,0,unknown,0
34,77,blue-collar,married,primary,unknown,0,1492.0,0,0,telephone,1,sep,663,1,208,2,other,0
35,57,technician,married,unknown,unknown,0,1617.0,1,0,unknown,7,may,96,2,-1,0,unknown,0
36,30,management,single,tertiary,unknown,0,0.0,1,0,cellular,2,apr,293,2,314,2,failure,0
37,37,blue-collar,married,secondary,unknown,0,-100.0,1,0,cellular,18,may,108,2,349,2,failure,0
38,46,services,married,secondary,Lisboa,0,53.0,0,1,cellular,28,jul,31,3,-1,0,unknown,0
39,58,administrator,married,secondary,unknown,0,145.0,1,0,telephone,29,jul,616,13,-1,0,unknown,1
40,33,technician,married,secondary,Lisboa,0,884.0,1,0,unknown,23,may,271,1,-1,0,unknown,0
